lfn_sentence,eng_sentence
Tom ia fa sua eleje.,Tom has made his choice.
El scrive un letera.,He is writing a letter.
Me pasea a la scola.,I walk to school.
Nun es sentante asi.,There's no one sitting here.
Me scrive un letera.,I am writing a letter.
Tom pote apena come.,Tom can barely eat.
Cual cosa tu desira?,What would you like?
Me gusta jua futbal.,I like to play soccer.
Tu abita en mea cor.,You live in my heart.
Vos ia fura mea cor.,You stole my heart.
Lo es un lingua fea.,It's an ugly language.
Tom abri la fenetra.,Tom is opening the window.
Tom es un xoviniste.,Tom is a chauvinist.
"Fode tua mama, puta.","Fuck your mom, bitch."
Clui la fodeda boca!,Shut the fuck up!
Clui la fodeda boca.,Shut the fuck up.
Ta ce la lus esiste!,Let there be light!
Me va sabe lo doman.,I'm going to know tomorrow.
Nos va vade con vos.,We'll go with you.
Mea gato miau multe.,My cat meows a lot.
Coraje manca de Tom.,Tom lacks courage.
Perce on ia mata el?,Why was she killed?
Tom ia supradosa se.,Tom OD'd.
Tom odia stranjeres.,Tom hates foreigners.
Cuasi cadun ia fali.,Almost everyone flunked.
Maria es multe bela.,Mary is very beautiful.
Me ia parla a cadun.,I talked to everybody.
Urano es un planeta.,Uranus is a planet.
Tom ia mendica mone.,Tom begged for money.
Come en cualce loca.,Eat wherever you want.
Esta es multe dulse.,This is very sweet.
Cuasi nun sabe esta.,Virtually nobody knows this.
Cuasi nun sabe acel.,Virtually nobody knows that.
Tu es multe noiante.,You're really boring.
Zucar no es saninte.,Sugar isn't good for you.
Esce esta no es blu?,Isn't this blue?
Esce tu parla deutx?,Do you speak German?
Los ave no demostra.,They have no proof.
Los no ave demostra.,They don't have proof.
No usa la pen negra.,Don't use the black pen.
Vive es un misterio.,Life is a mystery.
Elefantes come erba.,Elephants eat grass.
Esce tu ia mata los?,Did you kill them?
El ia acorda con el.,She agreed with him.
Acel es transfobica.,That is transphobic.
La xica gusta la can.,The girl likes the dog.
Joan core en la site.,Joan runs in the city.
Bonveni a la enferno!,Welcome to hell!
"Tua fia es sieca, no?",Is your daughter blind?
"Maria es tua fia, no?",Is Mary your daughter?
Me conose la mea fia.,I know my daughter.
Rumi es la fia prima.,Rumi is the first daughter.
Grasias per la avisa.,Thank you for the warning.
Ambos gamas es debil.,Both legs are weak.
Tu veni de cual pais?,Which country do you come from?
Cisa cualce otra ves.,Maybe some other time.
Esta es surprendente.,This is surprising.
Vade besa algun otra.,Go kiss someone else.
Esce me pote besa tu?,Can I kiss you?
Tu es vera enerjiosa.,You are really energetic.
Esce tu es felis asi?,Are you happy here?
Tom ia adormi rapida.,Tom fell asleep quickly.
Esta no es permeteda.,That is not allowed.
Nos ia escuta la mar.,We listened to the ocean.
El ia pasea a la mar.,He was walking toward the sea.
La bus veni de parti.,The bus just left.
Do vos compra vestes?,Where do you buy clothes?
Nos vole repara esta.,We want to fix that.
Esce me aspeta obesa?,Do I look fat?
Me ia ariva a London.,I arrived in London.
Me ia parti a London.,I left for London.
Esce tu es en London?,Are you in London?
Esce lo es sin custa?,Is it free of charge?
No desapone tu masca.,Don't take your mask off.
El nada en la pisina.,He is swimming in the pool.
Me es ancora sposida.,I'm still married.
Mostra la banda a me.,Show me the tape.
Esce tu ave un sisor?,Do you have a pair of scissors?
Me padron es sposida.,My boss is married.
Me ia continua pinti.,I was painting.
Esce tu ia jua tenis?,Did you play tennis?
Nos ia jua tenis ier.,We played tennis yesterday.
Jua tenis es diverti.,Playing tennis is fun.
Esce tu no jua tenis?,Do you not play tennis?
Me gusta multe tenis.,I like tennis very much.
Tenis plase multe me.,I like tennis very much.
Cuando vos jua tenis?,When do you play tennis?
Tom cuasi nunca cexa.,Tom hardly ever complains.
Esce el no conose me?,Doesn't he know me?
Tom ia comensa trema.,Tom started shivering.
Me ia continua dansa.,I was dancing.
Me ia veni de Jonguo.,I came from China.
El ia reveni de Xina.,He returned from China.
Esce tu gusta Jonguo?,Do you like China?
Esce el gusta Jonguo?,Does he like China?
Me ia ariva a Jonguo.,I arrived in China.
El es ge sin asconde.,He is openly gay.
Esce vos veni con me?,Are you coming with me?
Me ia amini con Jane.,I've become friends with Jane.
Esce tu pote abri lo?,Can you open it?
A fini Tom ia acorda.,Tom eventually agreed.
Tom a fini ia jubila.,Tom eventually retired.
Acel va aveni a fini.,That'll happen eventually.
A fini Tom ia cuieti.,Tom eventually calmed down.
Ultima Tom va reveni.,Tom will be back eventually.
Sesa es tan emosiosa.,Stop being so emotional.
Me conose la regulas.,I know the rules.
Tom es multe ostinos.,Tom is very stubborn.
La implicada es zero.,The default value is zero.
El e me es brasilera.,She and I are Brazilian.
El ia brosi sua xapo.,He brushed his hat.
Perce vos oposa esta?,Why are you opposed to this?
Me ia leje la mesaje.,I read the message.
Mea casa es distante.,My house is far away.
La deside es fada ja.,The decision's already been made.
Tom ia deveni dansor.,Tom became a dancer.
Esce tu gusta musica?,Do you like music?
Me vole ce tu escuta.,I want you to listen.
Cual libro es la tua?,Which is your book?
Sesa fumi es difisil.,It's hard to stop smoking.
Me vole jua a cartas.,I want to play cards.
Me permane en Italia.,I'm staying in Italy.
Du femes es cantante.,Two women are singing.
Me xerca mea telefon.,I am looking for my phone.
Cual cosa vos desira?,What would you like?
Vos abita en mea cor.,You live in my heart.
Me es bastante felis.,I'm happy enough.
Nos ia desprende los.,We threw them away.
Dona a me sinco dias.,Give me five days.
Tom conose la reglas.,Tom knows the rules.
Esce tu es poliamial?,Are you polyamorous?
Esce tu parla turces?,Do you speak Turkish?
Tom es un bon padron.,Tom is a good boss.
Danmarc es un prison.,Denmark’s a prison.
Sua nom real es Lisa.,Her real name is Lisa.
Me ia nada en la mar.,I swam in the sea.
Tom amira tua coraje.,Tom admires your courage.
Nos vive en un sosia.,We live in a society.
Perce el no gusta me?,Why doesn't he like me?
Tom ia es dependente.,Tom was hooked.
Me saborea solitaria.,I enjoy solitude.
La iudis es fatigada.,The Jews are tired.
Esce vos ia es seria?,Were you guys serious?
Esta es multe grande.,This is very big.
Tom ave du conasedas.,Tom has two siblings.
Tu parla multe lenta.,You speak very slowly.
Nos ia nuri la pexes.,We fed the fish.
Me ia venda apena lo.,I just sold it.
Tom no ia retarda se.,Tom wasn't delayed.
Allen es un poesiste.,Allen is a poet.
Cual tu ia dise ieri?,What did you say yesterday?
La otra xices ia rie.,The other kids smiled.
Esce esta es un urso?,Is this a bear?
Esce esta es un abea?,Is this a bee?
Tom ave un nova auto.,Tom has a new car.
El ia abandona islam.,He abandoned Islam.
Gatos es multe amosa.,Cats are very affectionate.
Tom es un antisemita.,Tom is an anti-Semite.
Alga ia mata Tom oji.,Somebody killed Tom today.
La comeda deveni fria.,The food becomes cold.
Me ia vive en felisia.,I lived in happiness.
Tom ance ave demandas.,"Tom has questions, too."
Mea fia ia es frodada.,My daughter was cheated.
Julia besa la sua fia.,Julia kisses her daughter.
Esce tua fia es sieca?,Is your daughter blind?
Esce Maria es tua fia?,Is Mary your daughter?
"Estas es tua fias, no?",Are these your daughters?
Mea fia vole un piano.,My daughter wants a piano.
Me es plu pesos ca tu.,I'm heavier than you.
Me ia vide el corente.,I saw him running.
Me es sempre fatigada.,I'm always tired.
Tom sabe ja tota esta.,Tom knows all this already.
Grasias per la averti.,Thank you for the warning.
Me no gusta bevi cafe.,I don't like to drink coffee.
Cual pinta tu prefere?,What paint do you prefer?
Tom no vole ance esta.,Tom doesn't want this either.
Vade a via: me labora.,Go away: I'm working.
Nada es un bon eserse.,Swimming is good exercise.
Esce tu es noiada asi?,Are you bored here?
Esce tu es ancora asi?,Are you still here?
Nos ia nada en la mar.,We swam in the sea.
El ia vole vade a mar.,He wanted to go to sea.
Lo ia es vera miracle.,It really was a miracle.
Me pesa 58 cilogrames.,I weigh 58 kilograms.
La fem vive en London.,She lives in London.
Esce vos es en London?,Are you in London?
Tom es mestre de tufa.,Tom is a dive master.
Tom ia porta un masca.,Tom wore a mask.
Tom nada multe rapida.,Tom swims very fast.
Pexes nada en la acua.,Fish swim in the water.
El no ave sensa comun.,He is lacking in common sense.
La vidores ia aplaudi.,The audience applauded.
Lo va es nosa secreta.,It will be our secret.
Tota de nos es peones.,We're all pawns.
Mostra a me cada cosa.,Show me everything.
La gala debe continua.,The show must go on.
La veria es nonegable.,The truth is undeniable.
Nos ia clui la boteca.,We closed the store.
Me ia pinti continual.,I was painting.
El va jua tenis doman.,He will play tennis tomorrow.
Me gusta tenis e golf.,I like tennis and golf.
El labora cuasi nunca.,He hardly ever works.
Tom cuasi nunca parla.,Tom hardly ever talks.
Maria ave siles longa.,Mary has long eyelashes.
Me gusta multe Jonguo.,I really like China.
Esta libro trata Xina.,This book deals with China.
Xina es un pais vasta.,China is a huge country.
Lo aveni a alga veses.,It happens sometimes.
A veses Meg irita Ken.,Meg sometimes annoys Ken.
Meg irita Ken a veses.,Meg sometimes annoys Ken.
Esce vos pote abri lo?,Can you open it?
A fini Tom ia confesa.,Tom eventually confessed.
A fini me va descovre.,I'll find out eventually.
Esta es comica no plu.,This is not funny anymore.
Cual cosa Tom ia dise?,What did Tom say?
El es un om brasilera.,He is Brazilian.
La autor es brasilera.,The author is Brazilian.
El ia perde sua vista.,He lost his sight.
Acel ia aveni en 2013.,That happened in 2013.
El ave dudes enfantes.,He has twenty children.
Esta idea no plaseTom.,Tom doesn't like that idea.
Tom es un bon cliente.,Tom is a regular customer.
Tom ia es trovada mor.,Tom was found dead.
Tal disputa fatiga me.,I'm tired of arguing.
Cuando la interval es?,When is the intermission?
Esce cadun ama musica?,Does everybody love music?
Esce vos gusta musica?,Do you like music?
Revade a la laboreria.,Go back to the lab.
Lo es un direto santa.,It's a sacred right.
Me ia vole ce tu sabe.,I wanted you to know.
Tota de nos es adulte.,We're all adults.
Esta peneta es blanca.,This pencil is white.
Do mea jornal dial es?,Where is my newspaper?
Esta om ave un cavalo.,This man has a horse.
La cavalo core rapida.,A horse runs quickly.
La acua es importante.,Water is important.
Me ia bevi multe cafe.,I drank a lot of coffee.
Tom ia crea esta caxa.,This box was made by Tom.
Nos debe vade a scola.,We must go to school.
Tom ia arde la letera.,Tom burned the letter.
Me gusta jua a futbal.,I like to play soccer.
Mea cor ia es rompeda.,My heart was broken.
Do es la sposa de Tom?,Where is Tom's wife?
Esce tu ia espeta nos?,Did you wait for us?
Esta es un lingua fea.,This is an ugly language.
La propria es un fura.,Property is theft.
"Fode tu, buco de culo.","Fuck you, asshole."
Esta xica es mea sore.,This girl is my sister.
Tom ia es sin defende.,Tom was helpless.
Fodeda onda de caldia!,Fucking heat wave!
Acel es merda de bove!,That's bullshit!
La dado es lansada ja.,The die has been cast.
Cueri tota la linguas!,Queer all languages!
Leje la fodeda manual!,Read the fucking manual!
Me vole un oportun du.,I want a second chance.
Tom amira vosa coraje.,Tom admires your courage.
Me es parente tro vea.,I'm apparently too old.
Tom ia bevi alga cosa.,Tom was drinking something.
"Vera, me ia es erante.","Actually, I was wrong."
Maria es estrema bela.,Mary is gorgeous.
Esce tu es un nudiste?,Are you a nudist?
Tom es nunca ofendeda.,Tom never gets offended.
Me es un astronomiste.,I'm an astronomer.
Italia es un penisola.,Italy is a peninsula.
Esce esta es un lapis?,Is this a pencil?
Me ave un grande casa.,I have a big house.
Me no ave tempo doman.,I have no time tomorrow.
Esce tu ama esta pais?,Do you love this country?
Me no vole come carne.,I don't want to eat meat.
Sua pel es blanca pur.,Her skin is pure white.
Tom es un antiiudiste.,Tom is an anti-Semite.
Tu es un megalomanica.,You're a megalomaniac.
Me no vole ce el mori.,I don't want him to die.
La gato xasa la scural.,The cat chases the squirrel.
La idea es ce tu canta.,The idea is that you sing.
La fia de el es malada.,His daughter is sick.
Esce estas es tua fias?,Are these your daughters?
Mea fia dormi profonda.,My daughter is fast asleep.
El es la tua fia unica?,Is she your only daughter?
Tom no gusta esta idea.,Tom doesn't like that idea.
Lo es un rua sin sorti.,It's a dead end.
Ci vole es un milionor?,Who wants to be a millionaire?
Me sabe do la clave es.,I know where the key is.
Me va lava la mea poma.,I'll wash my apple.
Garda la mone restante!,Keep the change!
Me nesesa un portasene.,I need an ashtray.
Esce tu ave portasenes?,Do you have ashtrays?
Tua roba es multe bela.,Your dress is very nice.
Me no ia tira la gatio.,I didn't pull the trigger.
Me viaja a multe veses.,I travel frequently.
Erugas deveni papilios.,A caterpillar becomes a butterfly.
Esta es la gato de Tom.,This is Tom's cat.
Esce tu es asi solitar?,Are you here alone?
Esce vos es ancora asi?,Are you still here?
La om scrive multe bon.,He writes beautifully.
La mar grande es susia.,The ocean is dirty.
La mar es multe grande.,The ocean is really big.
Alga de mundo gusta lo.,Some people like it.
Alga de mundo crede lo.,Some people believe that.
Como me descomuta esta?,How do I turn this off?
Tom es multe carismosa.,Tom is very charismatic.
Tortugas no ave dentes.,Turtles don't have teeth.
Cual color tu auto ave?,What color is your car?
Esce la can es nadante?,Is the dog swimming?
Me ia dormi tra la dia.,I slept all day.
Lo es a sinistra de tu.,It's to your left.
La periles es evidente.,The dangers are obvious.
El vole crase la xinxe.,He wants to squish the bug.
"Tu va resta con el, no?","You're staying with him, right?"
Nataxa es un nom rusce.,Natasha is a Russian name.
Ioco es un nom japanes.,Yoko is a Japanese name.
El ia sani pico e pico.,He recovered little by little.
El ia es bastante ebra.,He was pretty much drunk.
Vade jua tenis con Tom.,Go play tennis with Tom.
Mostra la jornal a Tom.,Show Tom the magazine.
Me ia es tota empapada.,I got soaking wet.
El ia descomuta la lus.,He turned off the light.
El ia reveni de Jonguo.,He returned from China.
Xina ave cualias xines.,China has Chinese characteristics.
Esta libro es sur Xina.,This book is about China.
Xina es un pais enorme.,China is a huge country.
Me studia a alga veses!,I study sometimes!
Lo es estrema nonjusta.,It's extremely unfair.
Nion es un pais strana.,Japan is a strange country.
Responde la plu pronto!,Answer as soon as possible!
"Per favore, no feri el.",Please don't hurt him.
Ultima tu va oblida me.,You'll eventually forget me.
Me es no plu inspirada.,I'm not inspired anymore.
Aora nos emplea no plu.,We are not hiring anymore.
Lo es un nasion grande.,It's a big country.
Tom crede en reincarne.,Tom believes in reincarnation.
La barco ia inversa se.,The boat capsized.
Plu bon tarda ca nunca.,Better late than never.
El es un fem brasilera.,She's Brazilian.
"Tu no es brasilera, si?","You're not Brazilian, are you?"
La om brosi sua dentes.,The man brushes his teeth.
Tom es erante completa.,Tom is dead wrong.
"Bonveni, tota de mundo.","Welcome, everybody."
La musica es universal.,Music is universal.
Composores crea musica.,Composers create music.
La musica es tro forte.,The music is too loud.
Cuanto enfantes tu ave?,How many children do you have?
Esta es un jornal dial.,This is a newspaper.
La gatos no gusta acua.,Cats don't like water.
El gusta leje jornales.,She likes to read magazines.
La duple ia ave un fio.,The couple had a son.
Tota de nos pote sonia.,We can all dream.
Tota de mundo ia dansa.,Everybody danced.
Me ia vade a scola ier.,I went to school yesterday.
Los ia clui acel scola.,They closed that school.
Tom no es ami de Maria.,Tom isn't Mary's friend.
Me es lejente un libro.,I am reading a book.
La stradas ia es vacua.,The roads were empty.
Tom ia parla sin pensa.,Tom spoke without thinking.
Nos es coliente flores.,We are picking flowers.
Fumi es proibida seria.,Smoking is strictly prohibited.
Me ave un peten lenial.,I have a wooden comb.
Esta xico es mea frato.,This boy is my brother.
Me pensa ce el es bela.,I think that she is beautiful.
No teme critica Israel.,Don't be afraid of criticizing Israel.
El es multe encantante.,He's very charming.
Me pote parla espaniol.,I can speak Spanish.
Me ia abri la fenetras.,I opened the windows.
Me oblida nunca un fas.,I never forget a face.
Me no gusta cafe calda.,I don't like hot coffee.
El ia scrive un letera.,He wrote a letter.
El es un mal motoriste.,He is a bad driver.
Tom ia comensa sprinta.,Tom began to sprint.
Tom ia deveni fatigada.,Tom grew tired.
Tom ia es un aventuror.,Tom was an adventurer.
Cada pais es diferente.,Every country is different.
La testo es nonlejable.,The text is illegible.
Libria no es sin custa.,Freedom isn't free.
Me ia venda apena acel.,I just sold that.
Tom no ia supradosa se.,Tom didn't overdose.
Esce vos ama esta pais?,Do you love this country?
Coraje no manca de Tom.,Tom isn't lacking in courage.
Grasias per la esplica.,Thanks for explaining it to me.
Me ia xerca ja un arma.,I'd looked for a weapon.
La xica gusta la musica.,The girl likes the music.
Computadores es macinas.,Computers are machines.
La gato no gusta la can.,The cat doesn't like the dog.
La tre omes grande come.,The three big men eat.
Tu es sempre en mea cor.,You're always in my heart.
La fia brosi la capeles.,The daughter brushes her hair.
Mea fia ia vade a scola.,My daughter went to school.
Cuando nos pote comensa?,When can we start?
Me ia ariva a la labora.,I have arrived at work.
Ci ia organiza la reuni?,Who organized the meeting?
Me conose nun en Boston.,I don't know anyone in Boston.
Esce vos ave portasenes?,Do you have ashtrays?
Bonveni a la mundo vera!,Welcome to the real world!
Me ia perde un orealeta.,I lost an earring.
Me ave sposa e enfantes.,I've got a wife and children.
La fem scrive multe bon.,She writes beautifully.
Asi nos pote oia la mar.,We can hear the ocean from here.
Tom gusta la mar grande.,Tom likes the ocean.
Oji la mar ia es tepida!,Today the sea was warm!
Anunsias es a cada loca.,Advertising is everywhere.
Lo es contra la regulas.,It's against the rules.
El ave volunta bastante.,She has enough willpower.
Me ia nase en Australia.,I was born in Australia.
On ave no fumo sin foco.,There is no smoke without fire.
Alga de mundo pensa tal.,Some people think so.
Los es multe importante.,They are very important.
Tu pote abri la fenetra.,You can open the window.
La fia de Tom es malada.,Tom's daughter is sick.
Nos no ia ave scola oji!,We had no school today!
Nos ave acel compartida.,We have that in common.
La escutores ia aplaudi.,The audience applauded.
El es un nador olimpian.,He's an Olympic swimmer.
Perce espeta asta lundi?,Why wait until Monday?
Helga es un nom svensce.,Helga is a Swedish name.
Me no vole es diferente.,I don't want to be different.
Me ia jua tenis con Bob.,I played tennis with Bob.
Tom no ia vole un sposa.,Tom didn't want a wife.
Me tipal velia temprana.,I usually wake up early.
Esta libro trata Jonguo.,This book deals with China.
Japan es prosima a Xina.,Japan is close to China.
Jonguo es un pais vasta.,China is a huge country.
Acel aveni a alga veses.,That happens sometimes.
Japan es un pais strana.,Japan is a strange country.
Do es la saleta privada?,Where's the toilet?
Esce tu parla balgarsce?,Do you speak Bulgarian?
Me pote abri la fenetra.,I can open the window.
A fini me ia es librida.,I was eventually released.
Lo no ia es interesante.,It wasn't interesting.
"Vos no es brasilera, si?","You're not Brazilian, are you?"
Un vista tan merveliosa!,What a marvelous sight!
Me no brode sua teletas.,I don't embroider their handkerchiefs.
Me no sabe cose o brode.,I don't know how to sew or embroider.
Me ama broma de parolas.,I love playing on words.
Me ia brosi sua capeles.,I brushed her hair.
El ia brosi sua capeles.,She brushed her hair.
Paris es la site de ama.,Paris is the city of love.
Tom ia dormi en la auto.,Tom slept in the car.
Ambos omes ia es matada.,Both men were killed.
Esce tu ia sabe ja esta?,Did you already know that?
Ta ce tu no es tan basa.,Don't be so unkind.
Tom es biolojiste maral.,Tom is a marine biologist.
Tom es desinior grafica.,Tom is a graphic designer.
Tom ia fura mea confeto.,Tom stole my candy.
Tom gusta viaja par bus.,Tom likes to travel by bus.
Tom ave sua auto propre.,Tom has his own car.
Sur cual los ia disputa?,What were they arguing about?
Ta ce nos escuta musica.,Let's listen to some music.
Esce la musica plase tu?,Do you like music?
Tota de mundo ia ama lo.,Everybody loved it.
Rusia es un pais enorme.,Russia is a huge country.
Nos ia vinse tre ecipos.,We beat three teams.
Aora Tom no usa cravata.,Tom isn't wearing a tie.
La acua es transparente.,Water is transparent.
Tom nada en la stangeta.,Tom is swimming in the pool.
Me ia leje ambos libros.,I've read both books.
Tota de nos pote aspira.,We can all dream.
Nos aprende par ensenia.,We learn by teaching.
Nos vade a scola en bus.,We go to school by bus.
Tom vole un microscopio.,Tom wants a microscope.
Esce tu ancora no dormi?,Aren't you asleep yet?
Me ave otodes-tre anios.,I'm eighty-three years old.
Perce la polisia es asi?,Why are the police here?
La polisia es asi perce?,Why are the police here?
Me revade a la sinagoga.,I'm going back to the synagogue.
Tom e Mari es poliamial.,Tom and Mary are polyamorous.
Cati es un gotica falsa.,Cathy is a fake goth.
Esce tu ia parla turces?,Have you spoken Turkish?
La filastinis es umanas.,The Palestinians are human beings.
Me no gusta focos artal.,I don't like fireworks.
Nos escuta musica celta.,We're listening to Celtic music.
Esce tu conose sua mama?,Do you know his mum?
Me nesesa un oportun du.,I need a second chance.
Tom es un cocainamanica.,Tom is a cocaine addict.
Tom no gusta cafe calda.,Tom doesn't like hot coffee.
Tom ia prende alga cosa.,Tom took something.
Tom ia compra alga cosa.,Tom bought something.
Me ia mata la bove fema.,I killed the cow.
No person es interesada.,No one is interested.
Esce la vino sabori bon?,Does the wine taste good?
Tom ia rompe tota cosas.,Tom broke everything.
On ia condena falsa nos.,We were falsely accused.
Esta fenetra es rompeda.,This window is broken.
Tu ia fa ce me es felis.,You made me happy.
Perce Tom plia sua oios?,Why is Tom squinting?
Islam ia flori en Barat.,Islam flourished in India.
Esce Tom ia atenta acel?,Has Tom tried that?
Tota persones nase egal.,All people are born equal.
Esce esta es un mascita?,Is this a mosque?
Esce tu gusta acel pais?,Do you like that country?
Esce tu gusta esta pais?,Do you like this country?
Corporas no es personas.,Corporations aren't people.
El es bela e intelijente.,She's beautiful and intelligent.
Esta xico es intelijente.,That boy is smart.
"Per favore, aida mea fia.","Please, help my daughter."
Mea fia es un xica masin.,My daughter is a tomboy.
La fia de el es un curor.,His daughter is a nurse.
El ia desira a me susede.,She wished me success.
Me ta gusta bevi un cafe.,I would like to drink a coffee.
Me pensa ce Tom es magra.,I think Tom is thin.
Nos es a punto de enaira.,We're taking off.
Me ia rompe tu portasene.,I broke your ashtray.
Me ancora no vole retira.,I don't want to retire yet.
Me ancora no vole jubila.,I don't want to retire yet.
Tom ave montones de mone.,Tom has piles of money.
El labora asta medianote.,He works until midnight.
Acel ia cambia cada cosa.,That changed everything.
"Sin acua, la flores seci.",Flowers wither without water.
"Parente, Tom ancora vive.","Apparently, Tom is still alive."
Ci no sabe alga espaniol?,Who doesn't know some Spanish?
Alga de mundo xerca fama.,Some people go after fame.
Esta es un scola publica.,This is a public school.
Cada minuto es un donada.,Every minute is a gift.
Ci es la om con un masca?,Who's the guy in the mask?
"A do tu core, lepre peti?","Where are you running, little hare?"
Flores fa ce el es felis.,Flowers make her happy.
Perce ama es tan difisil?,Why is love so hard?
La posiblias es infinita.,The possibilities are infinite.
Acel taxe no ia es fasil.,That task wasn't easy.
Tom ia es nador olimpian.,Tom was an Olympic swimmer.
Esta labora no ave futur.,This job has no future.
El ia pasea asta se casa.,He walked all the way home.
Mostra alga respeta a me.,Show me some respect.
Lo es un libro multe vea.,It's a very old book.
Esce tu ia jua tenis ier?,Did you play tennis yesterday?
Me telefoni a poca veses.,I rarely talk on the phone.
Asi lo pluve cuasi nunca.,It hardly ever rains here.
Tom cuasi nunca televide.,Tom almost never watches TV.
Me es cuasi nunca a casa.,I'm hardly ever home.
Tom ia veni per aida nos.,Tom has come to help us.
La frate continua scrive.,The brother is writing.
El va parti a Xina doman.,He leaves for China tomorrow.
Nion es prosima a Jonguo.,Japan is close to China.
Esta libro es sur Jonguo.,This book is about China.
Jonguo es un pais enorme.,China is a huge country.
Contra acel me ia susede.,Despite that I succeeded.
Tom vade nada a cada dia.,Tom goes swimming every day.
Malia a alga veses vinse.,Evil sometimes wins.
"A veses, cada cosa falta.",Sometimes everything goes wrong.
"""Grasias."" ""Per no cosa.""","""Thanks."" ""You're welcome."""
Me ia fa un favore a los.,I did them a favor.
Esce algun es asente oji?,Is anyone absent today?
Nos pote abri la fenetra.,We can open the window.
Vos pote abri la fenetra.,You can open the window.
Los pote abri la fenetra.,They can open the window.
Me no pote abri esta jar.,I can't open this jar.
A fini Tom va pardona tu.,Tom will forgive you eventually.
Ta ce nos disputa no plu.,Let's not argue anymore.
La fem brosi sua capeles.,The woman brushes her hair.
Maria es un fem pasiente.,Mary is a patient woman.
La demanda ia es asetada.,The request was granted.
Esce tu no sabe ci me es?,Do you not know who I am?
Tom ave tre xicas de cor.,Tom has three girlfriends.
Nos no ia dise ancora si.,We haven't said yes yet.
Maria ia perde la aposta.,Mary lost the bet.
Musica nuri nosa imajina.,Music feeds our imagination.
Esce la musica plase vos?,Do you like music?
Un musica tan merveliosa!,Such a wonderful music!
Ave asi la libros de los.,Here are their books.
Tom no es usante cravata.,Tom isn't wearing a tie.
El ave un maladia de cor.,He has a heart disease.
Tom vade sur sua bisicle.,Tom is riding his bicycle.
Cual jornal dial tu leje?,Which newspaper do you read?
Trae a me la jornal dial.,Bring me the newspaper.
Me es noiada de la scola.,I'm sick of school.
Cada pais ave un capital.,Every country has a capital city.
Maria porta un roba jala.,Mary is wearing a yellow dress.
Grasias per vosa suporta!,Thanks for your support!
Esce tu vole plu de cafe?,Would you like more coffee?
Vos es sempre en mea cor.,You're always in my heart.
Ier nos ia vade a sinema.,Yesterday we went to the cinema.
Me ia compra esta per tu.,I bought this for you.
Cual cosa tu vole de nos?,What do you want from us?
Me ia scrive tre leteras.,I've written three letters.
Ta ce nos bevi alga cafe!,Let's get some coffee.
Un otra mundo es posible.,Another world is possible.
Esce tu es un estrateran?,Are you an extraterrestrial?
Esce vos ia parla turces?,Have you spoken Turkish?
Me ave un bon disionario.,I have a good dictionary.
Tom no ia supradosa vera.,Tom didn't actually overdose.
Tom labora en un ospital.,Tom works in a hospital.
Ester es un lesbian iudi.,Esther is a Jewish lesbian.
Me sonia frecuente geras.,I often dream about wars.
Me ia comensa prepara me.,I started to prepare myself.
Tom ia comensa escusa se.,Tom began to apologize.
Perce tu no comprende lo?,Why don't you understand it?
Tom ia trova nova labora.,Tom has found a new job.
Esce vos gusta esta pais?,Do you like this country?
Esce vos gusta acel pais?,Do you like that country?
La ruas es plen de autos.,The roads are full of cars.
Me adora la diva Astarte.,I worship the goddess Astarte.
Un arco de sielo tan bela!,What a beautiful rainbow!
Tom es triste sin sua fia.,Tom misses his daughter.
Me no va sorti a sera oji.,I'm not going out tonight.
Me ia lasa ce Tom besa me.,I let Tom kiss me.
E Tom e Maria es artistes.,Tom and Mary both are artists.
La papilios es multe bela.,Butterflies are beautiful.
La fem vende concas marin.,She sells sea shells.
La barcon ia es en la mar.,The ship was at sea.
La suno ia leva de la mar.,The sun rose from the sea.
La gavotas vola basa aora.,The sea gulls are flying low.
Me ia vade nada en la mar.,I went swimming in the sea.
Me va recorda sempre esta.,I'll always remember that.
"Esce tu es preparada, Tom?","Are you ready, Tom?"
Me ia debe labora a soldi.,I had to work on Sunday.
Esta es asoluta mervelios.,This is absolutely wonderful.
Tom ia vende la brasaleta.,Tom sold the bracelet.
Alga de mundo gusta peril.,Some people like danger.
Alga de mundo es deludeda.,Some people are disappointed.
Alga de mundo ia segue el.,Some people followed him.
Me nesesa plu de persones.,I need some more people.
Tom ave tre fios e un fia.,Tom has three sons and one daughter.
Acel libro merita la leje.,That book is worth reading.
Tom ia vole vade a Boston.,Tom wanted to go to Boston.
El ia tufa a en la pisina.,She dived into the swimming pool.
Me no pote recorda se nom.,I can't remember his name.
Ci es la xico nadante ala?,Who is the boy that is swimming over there?
Esce lo merita tua labora?,Is it worth your time?
Me an no pensa plu sur lo.,I don't even think about it anymore.
"Esta utiles, on usa comun.",These implements are in common use.
Esce la cosmo es infinita?,Is the cosmos infinite?
Lo es un recordo olimpial.,It's an olympic record.
Maria ia mostra sua senos.,Mary showed her breasts.
Mostra alga cosa plu a me.,Show me something else.
La campania es merveliosa.,The countryside is magnificent.
Tu sabe ce Tom aora menti.,You know Tom is lying.
Teresa es un nom portuges.,Teresa is a Portuguese name.
Esce on ave vive en Marte?,Is there any life on Mars?
Esce Kumi es juante tenis?,Is Kumi playing tennis?
Esce vos ia jua tenis ier?,Did you play tennis yesterday?
Me jua tenis a cada soldi.,I play tennis every Sunday.
